"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1968"	"1968"	"< 1 year"	"1"	"Black or African American"	"2054-5"	"Female"	"F"	382	258270	147.9
	"1968"	"1968"	"< 1 year"	"1"	"Black or African American"	"2054-5"	"Male"	"M"	445	265110	167.9
	"1968"	"1968"	"< 1 year"	"1"	"Other Race"	"2131-1"	"Female"	"F"	16	25334	63.2 (Unreliable)
	"1968"	"1968"	"< 1 year"	"1"	"Other Race"	"2131-1"	"Male"	"M"	27	26510	101.8
	"1968"	"1968"	"< 1 year"	"1"	"White"	"2106-3"	"Female"	"F"	866	1421634	60.9
	"1968"	"1968"	"< 1 year"	"1"	"White"	"2106-3"	"Male"	"M"	1047	1504706	69.6
	"1968"	"1968"	"1-4 years"	"1-4"	"Black or African American"	"2054-5"	"Female"	"F"	561	1042000	53.8
	"1968"	"1968"	"1-4 years"	"1-4"	"Black or African American"	"2054-5"	"Male"	"M"	729	1048000	69.6
	"1968"	"1968"	"1-4 years"	"1-4"	"Other Race"	"2131-1"	"Female"	"F"	55	99000	55.6
	"1968"	"1968"	"1-4 years"	"1-4"	"Other Race"	"2131-1"	"Male"	"M"	69	101000	68.3
	"1968"	"1968"	"1-4 years"	"1-4"	"White"	"2106-3"	"Female"	"F"	1544	5999000	25.7
	"1968"	"1968"	"1-4 years"	"1-4"	"White"	"2106-3"	"Male"	"M"	2153	6258000	34.4
	"1968"	"1968"	"5-9 years"	"5-9"	"Black or African American"	"2054-5"	"Female"	"F"	352	1390000	25.3
	"1968"	"1968"	"5-9 years"	"5-9"	"Black or African American"	"2054-5"	"Male"	"M"	593	1389000	42.7
	"1968"	"1968"	"5-9 years"	"5-9"	"Other Race"	"2131-1"	"Female"	"F"	23	136000	16.9
	"1968"	"1968"	"5-9 years"	"5-9"	"Other Race"	"2131-1"	"Male"	"M"	33	138000	23.9
	"1968"	"1968"	"5-9 years"	"5-9"	"White"	"2106-3"	"Female"	"F"	1203	8498000	14.2
	"1968"	"1968"	"5-9 years"	"5-9"	"White"	"2106-3"	"Male"	"M"	2217	8863000	25.0
	"1968"	"1968"	"10-14 years"	"10-14"	"Black or African American"	"2054-5"	"Female"	"F"	202	1351000	15.0
	"1968"	"1968"	"10-14 years"	"10-14"	"Black or African American"	"2054-5"	"Male"	"M"	664	1355000	49.0
	"1968"	"1968"	"10-14 years"	"10-14"	"Other Race"	"2131-1"	"Female"	"F"	18	121000	14.9 (Unreliable)
