"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"1979"	"1979"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	203	274815	73.9
	"1979"	"1979"	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	17	45961	37.0 (Unreliable)
	"1979"	"1979"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	361	1382355	26.1
	"1979"	"1979"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	217	282869	76.7
	"1979"	"1979"	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	17	47886	35.5 (Unreliable)
	"1979"	"1979"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	520	1460512	35.6
	"1979"	"1979"	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	401	936000	42.8
	"1979"	"1979"	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	46	160000	28.8
	"1979"	"1979"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	1100	5078000	21.7
	"1979"	"1979"	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	522	951000	54.9
	"1979"	"1979"	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	73	165000	44.2
	"1979"	"1979"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	1616	5347000	30.2
	"1979"	"1979"	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	242	1256000	19.3
	"1979"	"1979"	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	25	206000	12.1
	"1979"	"1979"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	726	6824000	10.6
	"1979"	"1979"	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	474	1273000	37.2
	"1979"	"1979"	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	47	212000	22.2
	"1979"	"1979"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	1387	7176000	19.3
	"1979"	"1979"	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	150	1347000	11.1
	"1979"	"1979"	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	18	202000	8.9 (Unreliable)
	"1979"	"1979"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	835	7482000	11.2
	"1979"	"1979"	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	415	1362000	30.5
	"1979"	"1979"	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	53	211000	25.1
	"1979"	"1979"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	1963	7841000	25.0
	"1979"	"1979"	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	449	1502000	29.9
	"1979"	"1979"	"15-19 years"	"15-19"	"Female"	"F"	"Other Race"	"2131-1"	89	215000	41.4
	"1979"	"1979"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	3351	8781000	38.2
	"1979"	"1979"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	1564	1495000	104.6
	"1979"	"1979"	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	248	228000	108.8
	"1979"	"1979"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	11250	9127000	123.3
	"1979"	"1979"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	699	1408000	49.6
	"1979"	"1979"	"20-24 years"	"20-24"	"Female"	"F"	"Other Race"	"2131-1"	109	224000	48.7
	"1979"	"1979"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	3382	8909000	38.0
	"1979"	"1979"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	2815	1287000	218.7
	"1979"	"1979"	"20-24 years"	"20-24"	"Male"	"M"	"Other Race"	"2131-1"	396	224000	176.8
	"1979"	"1979"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	14402	9044000	159.2
	"1979"	"1979"	"25-34 years"	"25-34"	"Female"	"F"	"Black or African American"	"2054-5"	1115	2177000	51.2
	"1979"	"1979"	"25-34 years"	"25-34"	"Female"	"F"	"Other Race"	"2131-1"	152	464000	32.8
	"1979"	"1979"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	4637	15535000	29.8
	"1979"	"1979"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	5014	1886000	265.9
