"icd_class","year","age","race","sex","cause","death_count","population_count"
"icd_08","1968","1","black","female","all_cause",8579,258270
"icd_08","1968","1","black","female","all_external",382,258270
"icd_08","1968","1","black","female","non_external",8197,258270
"icd_08","1968","1","black","male","all_cause",10640,265110
"icd_08","1968","1","black","male","all_external",445,265110
"icd_08","1968","1","black","male","non_external",10195,265110
"icd_08","1968","1","other","female","all_cause",491,25334
"icd_08","1968","1","other","female","all_external",16,25334
"icd_08","1968","1","other","female","non_external",475,25334
"icd_08","1968","1","other","male","all_cause",651,26510
"icd_08","1968","1","other","male","all_external",27,26510
"icd_08","1968","1","other","male","non_external",624,26510
"icd_08","1968","1","white","female","all_cause",23167,1.42163e+006
"icd_08","1968","1","white","female","all_external",866,1.42163e+006
"icd_08","1968","1","white","female","non_external",22301,1.42163e+006
"icd_08","1968","1","white","male","all_cause",32735,1.50471e+006
"icd_08","1968","1","white","male","all_external",1047,1.50471e+006
"icd_08","1968","1","white","male","non_external",31688,1.50471e+006
"icd_08","1968","1-4","black","female","all_cause",1418,1.042e+006
"icd_08","1968","1-4","black","female","all_external",561,1.042e+006
"icd_08","1968","1-4","black","female","non_external",857,1.042e+006
"icd_08","1968","1-4","black","male","all_cause",1752,1.048e+006
"icd_08","1968","1-4","black","male","all_external",729,1.048e+006
"icd_08","1968","1-4","black","male","non_external",1023,1.048e+006
"icd_08","1968","1-4","other","female","all_cause",122,99000
"icd_08","1968","1-4","other","female","all_external",55,99000
"icd_08","1968","1-4","other","female","non_external",67,99000
"icd_08","1968","1-4","other","male","all_cause",149,101000
"icd_08","1968","1-4","other","male","all_external",69,101000
"icd_08","1968","1-4","other","male","non_external",80,101000
"icd_08","1968","1-4","white","female","all_cause",4221,5.999e+006
"icd_08","1968","1-4","white","female","all_external",1544,5.999e+006
"icd_08","1968","1-4","white","female","non_external",2677,5.999e+006
"icd_08","1968","1-4","white","male","all_cause",5376,6.258e+006
"icd_08","1968","1-4","white","male","all_external",2153,6.258e+006
"icd_08","1968","1-4","white","male","non_external",3223,6.258e+006
"icd_08","1968","5-9","black","female","all_cause",711,1.39e+006
"icd_08","1968","5-9","black","female","all_external",352,1.39e+006
"icd_08","1968","5-9","black","female","non_external",359,1.39e+006
"icd_08","1968","5-9","black","male","all_cause",1009,1.389e+006
"icd_08","1968","5-9","black","male","all_external",593,1.389e+006
"icd_08","1968","5-9","black","male","non_external",416,1.389e+006
"icd_08","1968","5-9","other","female","all_cause",50,136000
"icd_08","1968","5-9","other","female","all_external",23,136000
"icd_08","1968","5-9","other","female","non_external",27,136000
"icd_08","1968","5-9","other","male","all_cause",73,138000
"icd_08","1968","5-9","other","male","all_external",33,138000
"icd_08","1968","5-9","other","male","non_external",40,138000
"icd_08","1968","5-9","white","female","all_cause",2913,8.498e+006
"icd_08","1968","5-9","white","female","all_external",1203,8.498e+006
"icd_08","1968","5-9","white","female","non_external",1710,8.498e+006
"icd_08","1968","5-9","white","male","all_cause",4319,8.863e+006
"icd_08","1968","5-9","white","male","all_external",2217,8.863e+006
"icd_08","1968","5-9","white","male","non_external",2102,8.863e+006
"icd_08","1968","10-14","black","female","all_cause",562,1.351e+006
"icd_08","1968","10-14","black","female","all_external",202,1.351e+006
"icd_08","1968","10-14","black","female","non_external",360,1.351e+006
"icd_08","1968","10-14","black","male","all_cause",1033,1.355e+006
"icd_08","1968","10-14","black","male","all_external",664,1.355e+006
"icd_08","1968","10-14","black","male","non_external",369,1.355e+006
"icd_08","1968","10-14","other","female","all_cause",42,121000
"icd_08","1968","10-14","other","female","all_external",18,121000
"icd_08","1968","10-14","other","female","non_external",24,121000
"icd_08","1968","10-14","other","male","all_cause",67,122000
"icd_08","1968","10-14","other","male","all_external",41,122000
"icd_08","1968","10-14","other","male","non_external",26,122000
"icd_08","1968","10-14","white","female","all_cause",2412,8.518e+006
"icd_08","1968","10-14","white","female","all_external",937,8.518e+006
"icd_08","1968","10-14","white","female","non_external",1475,8.518e+006
"icd_08","1968","10-14","white","male","all_cause",4351,8.89e+006
"icd_08","1968","10-14","white","male","all_external",2630,8.89e+006
"icd_08","1968","10-14","white","male","non_external",1721,8.89e+006
"icd_08","1968","15-19","black","female","all_cause",930,1.136e+006
"icd_08","1968","15-19","black","female","all_external",396,1.136e+006
"icd_08","1968","15-19","black","female","non_external",534,1.136e+006
"icd_08","1968","15-19","black","male","all_cause",2432,1.114e+006
"icd_08","1968","15-19","black","male","all_external",1857,1.114e+006
"icd_08","1968","15-19","black","male","non_external",575,1.114e+006
"icd_08","1968","15-19","other","female","all_cause",75,110000
"icd_08","1968","15-19","other","female","all_external",44,110000
"icd_08","1968","15-19","other","female","non_external",31,110000
"icd_08","1968","15-19","other","male","all_cause",192,110000
"icd_08","1968","15-19","other","male","all_external",140,110000
"icd_08","1968","15-19","other","male","non_external",52,110000
"icd_08","1968","15-19","white","female","all_cause",4431,7.767e+006
"icd_08","1968","15-19","white","female","all_external",2647,7.767e+006
"icd_08","1968","15-19","white","female","non_external",1784,7.767e+006
"icd_08","1968","15-19","white","male","all_cause",11607,7.953e+006
"icd_08","1968","15-19","white","male","all_external",9119,7.953e+006
"icd_08","1968","15-19","white","male","non_external",2488,7.953e+006
"icd_08","1968","20-24","black","female","all_cause",1240,878000
"icd_08","1968","20-24","black","female","all_external",508,878000
"icd_08","1968","20-24","black","female","non_external",732,878000
"icd_08","1968","20-24","black","male","all_cause",2965,748000
"icd_08","1968","20-24","black","male","all_external",2280,748000
"icd_08","1968","20-24","black","male","non_external",685,748000
"icd_08","1968","20-24","other","female","all_cause",94,102000
"icd_08","1968","20-24","other","female","all_external",49,102000
"icd_08","1968","20-24","other","female","non_external",45,102000
"icd_08","1968","20-24","other","male","all_cause",237,95000
"icd_08","1968","20-24","other","male","all_external",194,95000
"icd_08","1968","20-24","other","male","non_external",43,95000
"icd_08","1968","20-24","white","female","all_cause",4417,6.867e+006
"icd_08","1968","20-24","white","female","all_external",2286,6.867e+006
"icd_08","1968","20-24","white","female","non_external",2131,6.867e+006
"icd_08","1968","20-24","white","male","all_cause",12520,6.365e+006
"icd_08","1968","20-24","white","male","all_external",9899,6.365e+006
"icd_08","1968","20-24","white","male","non_external",2621,6.365e+006
"icd_08","1968","25-34","black","female","all_cause",3442,1.392e+006
"icd_08","1968","25-34","black","female","all_external",855,1.392e+006
