"year","age_group","sex","race","cause","rep","death_count","population_count","death_rate"
1968,"adults","female","black","assault",1,1091,4.679e+006,23.3169
1968,"adults","female","black","intentional_self_harm",1,175,4.679e+006,3.74012
1968,"adults","female","black","vehicle",1,730,4.679e+006,15.6016
1968,"adults","female","other","assault",1,33,544000,6.06618
1968,"adults","female","other","intentional_self_harm",1,44,544000,8.08824
1968,"adults","female","other","vehicle",1,120,544000,22.0588
1968,"adults","female","white","assault",1,1033,3.8594e+007,2.67658
1968,"adults","female","white","intentional_self_harm",1,3768,3.8594e+007,9.76318
1968,"adults","female","white","vehicle",1,5432,3.8594e+007,14.0747
1968,"adults","male","black","assault",1,4829,3.967e+006,121.729
1968,"adults","male","black","intentional_self_harm",1,516,3.967e+006,13.0073
1968,"adults","male","black","vehicle",1,2786,3.967e+006,70.2294
1968,"adults","male","other","assault",1,93,501000,18.5629
1968,"adults","male","other","intentional_self_harm",1,92,501000,18.3633
1968,"adults","male","other","vehicle",1,333,501000,66.4671
1968,"adults","male","white","assault",1,3481,3.6788e+007,9.46232
1968,"adults","male","white","intentional_self_harm",1,7987,3.6788e+007,21.7109
1968,"adults","male","white","vehicle",1,18009,3.6788e+007,48.9535
1968,"children and adolescents","female","black","assault",1,126,2.487e+006,5.06634
1968,"children and adolescents","female","black","intentional_self_harm",1,23,2.487e+006,0.924809
1968,"children and adolescents","female","black","vehicle",1,216,2.487e+006,8.68516
1968,"children and adolescents","female","other","assault",1,7,231000,3.0303
1968,"children and adolescents","female","other","intentional_self_harm",1,8,231000,3.4632
1968,"children and adolescents","female","other","vehicle",1,31,231000,13.4199
1968,"children and adolescents","female","white","assault",1,162,1.6285e+007,0.99478
1968,"children and adolescents","female","white","intentional_self_harm",1,190,1.6285e+007,1.16672
1968,"children and adolescents","female","white","vehicle",1,2445,1.6285e+007,15.0138
1968,"children and adolescents","male","black","assault",1,629,2.469e+006,25.4759
1968,"children and adolescents","male","black","intentional_self_harm",1,47,2.469e+006,1.9036
1968,"children and adolescents","male","black","vehicle",1,724,2.469e+006,29.3236
1968,"children and adolescents","male","other","assault",1,11,232000,4.74138
1968,"children and adolescents","male","other","intentional_self_harm",1,16,232000,6.89655
1968,"children and adolescents","male","other","vehicle",1,65,232000,28.0172
1968,"children and adolescents","male","white","assault",1,413,1.6843e+007,2.45206
1968,"children and adolescents","male","white","intentional_self_harm",1,748,1.6843e+007,4.44101
1968,"children and adolescents","male","white","vehicle",1,6473,1.6843e+007,38.4314
1968,"older adults","female","black","assault",1,82,1.05e+006,7.80952
1968,"older adults","female","black","intentional_self_harm",1,23,1.05e+006,2.19048
1968,"older adults","female","black","vehicle",1,173,1.05e+006,16.4762
1968,"older adults","female","other","assault",1,2,80000,2.5
1968,"older adults","female","other","intentional_self_harm",1,11,80000,13.75
1968,"older adults","female","other","vehicle",1,19,80000,23.75
1968,"older adults","female","white","assault",1,218,1.19e+007,1.83193
1968,"older adults","female","white","intentional_self_harm",1,1205,1.19e+007,10.1261
1968,"older adults","female","white","vehicle",1,2360,1.19e+007,19.8319
1968,"older adults","male","black","assault",1,422,881000,47.9001
1968,"older adults","male","black","intentional_self_harm",1,102,881000,11.5778
1968,"older adults","male","black","vehicle",1,557,881000,63.2236
1968,"older adults","male","other","assault",1,15,105000,14.2857
1968,"older adults","male","other","intentional_self_harm",1,18,105000,17.1429
1968,"older adults","male","other","vehicle",1,61,105000,58.0952
1968,"older adults","male","white","assault",1,592,1.0017e+007,5.90995
1968,"older adults","male","white","intentional_self_harm",1,3805,1.0017e+007,37.9854
1968,"older adults","male","white","vehicle",1,4642,1.0017e+007,46.3412
1969,"adults","female","black","assault",1,1119,4.782e+006,23.4003
1969,"adults","female","black","intentional_self_harm",1,215,4.782e+006,4.49603
1969,"adults","female","black","vehicle",1,753,4.782e+006,15.7465
1969,"adults","female","other","assault",1,37,581000,6.36833
1969,"adults","female","other","intentional_self_harm",1,48,581000,8.26162
